run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR17128807	SAMN23169417	SRX13313320	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17128807/SRR17128807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17128807/SRR17128807_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/007/SRR17128807	
SRR17128812	SAMN23169439	SRX13313315	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17128812/SRR17128812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17128812/SRR17128812_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/012/SRR17128812	
SRR16955683	SAMN23169413	SRX13147261	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/083/SRR16955683/SRR16955683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/083/SRR16955683/SRR16955683_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/083/SRR16955683	
SRR17128817	SAMN23169413	SRX13313310	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/017/SRR17128817/SRR17128817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/017/SRR17128817/SRR17128817_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/017/SRR17128817	
SRR16955686	SAMN23169410	SRX13147258	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/086/SRR16955686/SRR16955686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/086/SRR16955686/SRR16955686_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/086/SRR16955686	
SRR17128819	SAMN23169411	SRX13313308	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17128819/SRR17128819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17128819/SRR17128819_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/019/SRR17128819	
SRR17128823	SAMN23169436	SRX13313304	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17128823/SRR17128823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17128823/SRR17128823_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/023/SRR17128823	
SRR16955688	SAMN23169408	SRX13147256	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/088/SRR16955688/SRR16955688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/088/SRR16955688/SRR16955688_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/088/SRR16955688	
SRR17128825	SAMN23169435	SRX13313302	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17128825/SRR17128825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17128825/SRR17128825_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR171/025/SRR17128825	
SRR16955690	SAMN23169406	SRX13147254	PRJNA778418	1154581	food fermentation metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/090/SRR16955690/SRR16955690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/090/SRR16955690/SRR16955690_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/090/SRR16955690	
