run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR18491244	SAMN26980136	SRX14622884	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/044/SRR18491244/SRR18491244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/044/SRR18491244/SRR18491244_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/044/SRR18491244	
SRR18491248	SAMN26980133	SRX14622880	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/048/SRR18491248/SRR18491248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/048/SRR18491248/SRR18491248_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/048/SRR18491248	
SRR18491252	SAMN26980129	SRX14622876	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/052/SRR18491252/SRR18491252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/052/SRR18491252/SRR18491252_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/052/SRR18491252	
SRR18491255	SAMN26980126	SRX14622873	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/055/SRR18491255/SRR18491255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/055/SRR18491255/SRR18491255_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/055/SRR18491255	
SRR18491256	SAMN26980125	SRX14622872	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/056/SRR18491256/SRR18491256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/056/SRR18491256/SRR18491256_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/056/SRR18491256	
SRR18491260	SAMN26980122	SRX14622868	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/060/SRR18491260/SRR18491260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/060/SRR18491260/SRR18491260_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/060/SRR18491260	
SRR18491264	SAMN26980118	SRX14622864	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/064/SRR18491264/SRR18491264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/064/SRR18491264/SRR18491264_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/064/SRR18491264	
SRR18491265	SAMN26980117	SRX14622863	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/065/SRR18491265/SRR18491265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/065/SRR18491265/SRR18491265_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/065/SRR18491265	
SRR18491267	SAMN26980115	SRX14622861	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/067/SRR18491267/SRR18491267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/067/SRR18491267/SRR18491267_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/067/SRR18491267	
SRR18491271	SAMN26980112	SRX14622857	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/071/SRR18491271/SRR18491271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/071/SRR18491271/SRR18491271_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/071/SRR18491271	
SRR18491272	SAMN26980111	SRX14622856	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/072/SRR18491272/SRR18491272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/072/SRR18491272/SRR18491272_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/072/SRR18491272	
SRR18491275	SAMN26980108	SRX14622853	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/075/SRR18491275/SRR18491275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/075/SRR18491275/SRR18491275_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/075/SRR18491275	
SRR18491278	SAMN26980105	SRX14622850	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/078/SRR18491278/SRR18491278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/078/SRR18491278/SRR18491278_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/078/SRR18491278	
SRR18491281	SAMN26980103	SRX14622847	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/081/SRR18491281/SRR18491281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/081/SRR18491281/SRR18491281_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/081/SRR18491281	
SRR18491282	SAMN26980102	SRX14622846	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/082/SRR18491282/SRR18491282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/082/SRR18491282/SRR18491282_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/082/SRR18491282	
SRR18491284	SAMN26980100	SRX14622844	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/084/SRR18491284/SRR18491284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/084/SRR18491284/SRR18491284_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/084/SRR18491284	
SRR18491288	SAMN26980096	SRX14622840	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/088/SRR18491288/SRR18491288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/088/SRR18491288/SRR18491288_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/088/SRR18491288	
SRR18491289	SAMN26980095	SRX14622839	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/089/SRR18491289/SRR18491289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/089/SRR18491289/SRR18491289_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/089/SRR18491289	
SRR18491294	SAMN26980091	SRX14622834	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/094/SRR18491294/SRR18491294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/094/SRR18491294/SRR18491294_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/094/SRR18491294	
SRR18491296	SAMN26980089	SRX14622608	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/096/SRR18491296/SRR18491296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/096/SRR18491296/SRR18491296_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/096/SRR18491296	
SRR18491309	SAMN26980412	SRX14622819	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/009/SRR18491309/SRR18491309_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/009/SRR18491309	
SRR18491314	SAMN26980407	SRX14622814	PRJNA820119	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR184/014/SRR18491314/SRR18491314_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR184/014/SRR18491314	
